,Features
4272,"{'danceability': 0.54, 'energy': 0.385, 'key': 7, 'loudness': -13.819, 'mode': 0, 'speechiness': 0.0435, 'acousticness': 0.105, 'instrumentalness': 0.916, 'liveness': 0.101, 'valence': 0.0875, 'tempo': 91.041, 'type': 'audio_features', 'id': '4OO2lavE7yz5Ane6fEYXp3', 'uri': 'spotify:track:4OO2lavE7yz5Ane6fEYXp3', 'track_href': 'https://api.spotify.com/v1/tracks/4OO2lavE7yz5Ane6fEYXp3', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4OO2lavE7yz5Ane6fEYXp3', 'duration_ms': 423933, 'time_signature': 4}"
4273,"{'danceability': 0.6, 'energy': 0.237, 'key': 8, 'loudness': -11.212, 'mode': 1, 'speechiness': 0.0466, 'acousticness': 0.521, 'instrumentalness': 0.0466, 'liveness': 0.117, 'valence': 0.325, 'tempo': 79.8, 'type': 'audio_features', 'id': '3c7N2fCFB4JVKGF8cWfteh', 'uri': 'spotify:track:3c7N2fCFB4JVKGF8cWfteh', 'track_href': 'https://api.spotify.com/v1/tracks/3c7N2fCFB4JVKGF8cWfteh', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3c7N2fCFB4JVKGF8cWfteh', 'duration_ms': 256920, 'time_signature': 4}"
4274,"{'danceability': 0.762, 'energy': 0.697, 'key': 7, 'loudness': -3.657, 'mode': 1, 'speechiness': 0.0463, 'acousticness': 0.0688, 'instrumentalness': 7.52e-05, 'liveness': 0.269, 'valence': 0.705, 'tempo': 123.033, 'type': 'audio_features', 'id': '4jjtFbO4dYu4JO0CIph6Ak', 'uri': 'spotify:track:4jjtFbO4dYu4JO0CIph6Ak', 'track_href': 'https://api.spotify.com/v1/tracks/4jjtFbO4dYu4JO0CIph6Ak', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4jjtFbO4dYu4JO0CIph6Ak', 'duration_ms': 203307, 'time_signature': 4}"
4275,"{'danceability': 0.817, 'energy': 0.585, 'key': 5, 'loudness': -4.688, 'mode': 1, 'speechiness': 0.0301, 'acousticness': 0.439, 'instrumentalness': 0, 'liveness': 0.147, 'valence': 0.916, 'tempo': 105.014, 'type': 'audio_features', 'id': '4KoecuyOpZaNFZ0UqVsllc', 'uri': 'spotify:track:4KoecuyOpZaNFZ0UqVsllc', 'track_href': 'https://api.spotify.com/v1/tracks/4KoecuyOpZaNFZ0UqVsllc', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4KoecuyOpZaNFZ0UqVsllc', 'duration_ms': 218440, 'time_signature': 4}"
4276,"{'danceability': 0.564, 'energy': 0.354, 'key': 7, 'loudness': -10.85, 'mode': 1, 'speechiness': 0.0334, 'acousticness': 0.73, 'instrumentalness': 3.43e-06, 'liveness': 0.208, 'valence': 0.423, 'tempo': 98.075, 'type': 'audio_features', 'id': '47KDDZgFiX1w6RFOuLXsSn', 'uri': 'spotify:track:47KDDZgFiX1w6RFOuLXsSn', 'track_href': 'https://api.spotify.com/v1/tracks/47KDDZgFiX1w6RFOuLXsSn', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/47KDDZgFiX1w6RFOuLXsSn', 'duration_ms': 240587, 'time_signature': 3}"
4277,"{'danceability': 0.551, 'energy': 0.947, 'key': 2, 'loudness': -4.671, 'mode': 1, 'speechiness': 0.152, 'acousticness': 0.000652, 'instrumentalness': 0.000257, 'liveness': 0.0637, 'valence': 0.466, 'tempo': 127.657, 'type': 'audio_features', 'id': '6QDbGdbJ57Mtkflsg42WV5', 'uri': 'spotify:track:6QDbGdbJ57Mtkflsg42WV5', 'track_href': 'https://api.spotify.com/v1/tracks/6QDbGdbJ57Mtkflsg42WV5', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6QDbGdbJ57Mtkflsg42WV5', 'duration_ms': 282747, 'time_signature': 4}"
4278,"{'danceability': 0.354, 'energy': 0.741, 'key': 1, 'loudness': -6.389, 'mode': 1, 'speechiness': 0.0806, 'acousticness': 0.018, 'instrumentalness': 0.0134, 'liveness': 0.0753, 'valence': 0.596, 'tempo': 142.348, 'type': 'audio_features', 'id': '0uco0wQkB909zpPlHvu5Cc', 'uri': 'spotify:track:0uco0wQkB909zpPlHvu5Cc', 'track_href': 'https://api.spotify.com/v1/tracks/0uco0wQkB909zpPlHvu5Cc', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0uco0wQkB909zpPlHvu5Cc', 'duration_ms': 251013, 'time_signature': 4}"
4279,"{'danceability': 0.302, 'energy': 0.698, 'key': 2, 'loudness': -5.702, 'mode': 1, 'speechiness': 0.0482, 'acousticness': 0.208, 'instrumentalness': 0.00494, 'liveness': 0.123, 'valence': 0.393, 'tempo': 78.411, 'type': 'audio_features', 'id': '26bn9OCVa4MW826HIIGNfr', 'uri': 'spotify:track:26bn9OCVa4MW826HIIGNfr', 'track_href': 'https://api.spotify.com/v1/tracks/26bn9OCVa4MW826HIIGNfr', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/26bn9OCVa4MW826HIIGNfr', 'duration_ms': 224360, 'time_signature': 4}"
4280,"{'danceability': 0.626, 'energy': 0.04, 'key': 4, 'loudness': -19.994, 'mode': 1, 'speechiness': 0.0405, 'acousticness': 0.928, 'instrumentalness': 0.00178, 'liveness': 0.11, 'valence': 0.418, 'tempo': 117.136, 'type': 'audio_features', 'id': '2uRVPeQbsEpRQD0DKr1WTo', 'uri': 'spotify:track:2uRVPeQbsEpRQD0DKr1WTo', 'track_href': 'https://api.spotify.com/v1/tracks/2uRVPeQbsEpRQD0DKr1WTo', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2uRVPeQbsEpRQD0DKr1WTo', 'duration_ms': 138600, 'time_signature': 4}"
4281,"{'danceability': 0.452, 'energy': 0.965, 'key': 8, 'loudness': -3.388, 'mode': 1, 'speechiness': 0.141, 'acousticness': 0.00085, 'instrumentalness': 0.0028, 'liveness': 0.0741, 'valence': 0.743, 'tempo': 188.151, 'type': 'audio_features', 'id': '0h5D9uxuZRAfq6qMMX34vN', 'uri': 'spotify:track:0h5D9uxuZRAfq6qMMX34vN', 'track_href': 'https://api.spotify.com/v1/tracks/0h5D9uxuZRAfq6qMMX34vN', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0h5D9uxuZRAfq6qMMX34vN', 'duration_ms': 215307, 'time_signature': 4}"
4282,"{'danceability': 0.53, 'energy': 0.827, 'key': 0, 'loudness': -4.652, 'mode': 1, 'speechiness': 0.115, 'acousticness': 0.28, 'instrumentalness': 9.68e-06, 'liveness': 0.0996, 'valence': 0.379, 'tempo': 98.594, 'type': 'audio_features', 'id': '3h9zGJCR0ayAxxub015xb7', 'uri': 'spotify:track:3h9zGJCR0ayAxxub015xb7', 'track_href': 'https://api.spotify.com/v1/tracks/3h9zGJCR0ayAxxub015xb7', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3h9zGJCR0ayAxxub015xb7', 'duration_ms': 255613, 'time_signature': 4}"
4283,"{'danceability': 0.429, 'energy': 0.564, 'key': 11, 'loudness': -6.784, 'mode': 1, 'speechiness': 0.0268, 'acousticness': 0.0193, 'instrumentalness': 0.000828, 'liveness': 0.128, 'valence': 0.276, 'tempo': 104.212, 'type': 'audio_features', 'id': '0KMGxYKeUzK9wc5DZCt3HT', 'uri': 'spotify:track:0KMGxYKeUzK9wc5DZCt3HT', 'track_href': 'https://api.spotify.com/v1/tracks/0KMGxYKeUzK9wc5DZCt3HT', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0KMGxYKeUzK9wc5DZCt3HT', 'duration_ms': 235373, 'time_signature': 4}"
4284,"{'danceability': 0.605, 'energy': 0.853, 'key': 0, 'loudness': -4.84, 'mode': 1, 'speechiness': 0.0265, 'acousticness': 0.000753, 'instrumentalness': 0.0531, 'liveness': 0.0995, 'valence': 0.636, 'tempo': 119.995, 'type': 'audio_features', 'id': '7Jh5PrfKP9GaEJpWl1awJv', 'uri': 'spotify:track:7Jh5PrfKP9GaEJpWl1awJv', 'track_href': 'https://api.spotify.com/v1/tracks/7Jh5PrfKP9GaEJpWl1awJv', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7Jh5PrfKP9GaEJpWl1awJv', 'duration_ms': 195320, 'time_signature': 4}"
4285,"{'danceability': 0.226, 'energy': 0.653, 'key': 9, 'loudness': -9.303, 'mode': 1, 'speechiness': 0.0417, 'acousticness': 0.00387, 'instrumentalness': 0.874, 'liveness': 0.168, 'valence': 0.0778, 'tempo': 80.142, 'type': 'audio_features', 'id': '2w4XcadFkUsVRn9L9yOEnn', 'uri': 'spotify:track:2w4XcadFkUsVRn9L9yOEnn', 'track_href': 'https://api.spotify.com/v1/tracks/2w4XcadFkUsVRn9L9yOEnn', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2w4XcadFkUsVRn9L9yOEnn', 'duration_ms': 343827, 'time_signature': 4}"
4286,"{'danceability': 0.583, 'energy': 0.339, 'key': 2, 'loudness': -14.209, 'mode': 1, 'speechiness': 0.0368, 'acousticness': 0.858, 'instrumentalness': 0.042, 'liveness': 0.129, 'valence': 0.341, 'tempo': 78.129, 'type': 'audio_features', 'id': '6Q4GtzdnpQohD8JtEzRW1R', 'uri': 'spotify:track:6Q4GtzdnpQohD8JtEzRW1R', 'track_href': 'https://api.spotify.com/v1/tracks/6Q4GtzdnpQohD8JtEzRW1R', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6Q4GtzdnpQohD8JtEzRW1R', 'duration_ms': 245653, 'time_signature': 4}"
4287,"{'danceability': 0.259, 'energy': 0.73, 'key': 0, 'loudness': -4.856, 'mode': 1, 'speechiness': 0.0536, 'acousticness': 5.57e-05, 'instrumentalness': 0.767, 'liveness': 0.166, 'valence': 0.156, 'tempo': 90.392, 'type': 'audio_features', 'id': '4EJFCpthcrP6oOUUXQZ22Z', 'uri': 'spotify:track:4EJFCpthcrP6oOUUXQZ22Z', 'track_href': 'https://api.spotify.com/v1/tracks/4EJFCpthcrP6oOUUXQZ22Z', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4EJFCpthcrP6oOUUXQZ22Z', 'duration_ms': 243253, 'time_signature': 3}"
4288,"{'danceability': 0.584, 'energy': 0.809, 'key': 9, 'loudness': -5.395, 'mode': 0, 'speechiness': 0.0374, 'acousticness': 0.00555, 'instrumentalness': 0.000495, 'liveness': 0.123, 'valence': 0.393, 'tempo': 140.086, 'type': 'audio_features', 'id': '6QZAs3BuuB3GWkJ1XrBcy2', 'uri': 'spotify:track:6QZAs3BuuB3GWkJ1XrBcy2', 'track_href': 'https://api.spotify.com/v1/tracks/6QZAs3BuuB3GWkJ1XrBcy2', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6QZAs3BuuB3GWkJ1XrBcy2', 'duration_ms': 158613, 'time_signature': 4}"
4289,"{'danceability': 0.696, 'energy': 0.564, 'key': 0, 'loudness': -10.803, 'mode': 1, 'speechiness': 0.0371, 'acousticness': 0.277, 'instrumentalness': 0.000353, 'liveness': 0.133, 'valence': 0.932, 'tempo': 146.709, 'type': 'audio_features', 'id': '4rMWDm28mERZcRPc1f3yir', 'uri': 'spotify:track:4rMWDm28mERZcRPc1f3yir', 'track_href': 'https://api.spotify.com/v1/tracks/4rMWDm28mERZcRPc1f3yir', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4rMWDm28mERZcRPc1f3yir', 'duration_ms': 148160, 'time_signature': 4}"
4290,"{'danceability': 0.669, 'energy': 0.419, 'key': 1, 'loudness': -6.724, 'mode': 0, 'speechiness': 0.522, 'acousticness': 0.376, 'instrumentalness': 0, 'liveness': 0.187, 'valence': 0.0397, 'tempo': 109.813, 'type': 'audio_features', 'id': '3s7MCdXyWmwjdcWh7GWXas', 'uri': 'spotify:track:3s7MCdXyWmwjdcWh7GWXas', 'track_href': 'https://api.spotify.com/v1/tracks/3s7MCdXyWmwjdcWh7GWXas', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3s7MCdXyWmwjdcWh7GWXas', 'duration_ms': 215320, 'time_signature': 4}"
4291,"{'danceability': 0.408, 'energy': 0.848, 'key': 1, 'loudness': -9.797, 'mode': 1, 'speechiness': 0.0328, 'acousticness': 0.00563, 'instrumentalness': 0.922, 'liveness': 0.128, 'valence': 0.258, 'tempo': 165.93, 'type': 'audio_features', 'id': '3iNj5fdyY62N1ycufQ3E2M', 'uri': 'spotify:track:3iNj5fdyY62N1ycufQ3E2M', 'track_href': 'https://api.spotify.com/v1/tracks/3iNj5fdyY62N1ycufQ3E2M', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3iNj5fdyY62N1ycufQ3E2M', 'duration_ms': 223013, 'time_signature': 4}"
4292,"{'danceability': 0.472, 'energy': 0.115, 'key': 1, 'loudness': -15.695, 'mode': 1, 'speechiness': 0.09, 'acousticness': 0.973, 'instrumentalness': 0.927, 'liveness': 0.111, 'valence': 0.393, 'tempo': 84.853, 'type': 'audio_features', 'id': '1OLVSBXrkw1f9FMkk3IKNY', 'uri': 'spotify:track:1OLVSBXrkw1f9FMkk3IKNY', 'track_href': 'https://api.spotify.com/v1/tracks/1OLVSBXrkw1f9FMkk3IKNY', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1OLVSBXrkw1f9FMkk3IKNY', 'duration_ms': 94982, 'time_signature': 4}"
4293,"{'danceability': 0.636, 'energy': 0.566, 'key': 6, 'loudness': -7.16, 'mode': 0, 'speechiness': 0.106, 'acousticness': 0.365, 'instrumentalness': 0.000353, 'liveness': 0.0917, 'valence': 0.425, 'tempo': 151.894, 'type': 'audio_features', 'id': '6LxSe8YmdPxy095Ux6znaQ', 'uri': 'spotify:track:6LxSe8YmdPxy095Ux6znaQ', 'track_href': 'https://api.spotify.com/v1/tracks/6LxSe8YmdPxy095Ux6znaQ', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6LxSe8YmdPxy095Ux6znaQ', 'duration_ms': 235987, 'time_signature': 4}"
4294,"{'danceability': 0.453, 'energy': 0.977, 'key': 1, 'loudness': -4.041, 'mode': 0, 'speechiness': 0.102, 'acousticness': 0.00314, 'instrumentalness': 0.000494, 'liveness': 0.106, 'valence': 0.673, 'tempo': 170.058, 'type': 'audio_features', 'id': '4SjbThOBAifCj4cBAI12T1', 'uri': 'spotify:track:4SjbThOBAifCj4cBAI12T1', 'track_href': 'https://api.spotify.com/v1/tracks/4SjbThOBAifCj4cBAI12T1', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4SjbThOBAifCj4cBAI12T1', 'duration_ms': 249360, 'time_signature': 4}"
4295,"{'danceability': 0.0629, 'energy': 0.701, 'key': 0, 'loudness': -6.837, 'mode': 1, 'speechiness': 0.061, 'acousticness': 0.0615, 'instrumentalness': 0.0144, 'liveness': 0.15, 'valence': 0.211, 'tempo': 202.592, 'type': 'audio_features', 'id': '4wNKEUTSUjX7QOmeV9BP5R', 'uri': 'spotify:track:4wNKEUTSUjX7QOmeV9BP5R', 'track_href': 'https://api.spotify.com/v1/tracks/4wNKEUTSUjX7QOmeV9BP5R', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4wNKEUTSUjX7QOmeV9BP5R', 'duration_ms': 230773, 'time_signature': 3}"
4296,"{'danceability': 0.596, 'energy': 0.896, 'key': 6, 'loudness': -2.946, 'mode': 1, 'speechiness': 0.0945, 'acousticness': 0.00241, 'instrumentalness': 0, 'liveness': 0.0913, 'valence': 0.62, 'tempo': 121.957, 'type': 'audio_features', 'id': '089keBWJUOsI9wUeVr1uIr', 'uri': 'spotify:track:089keBWJUOsI9wUeVr1uIr', 'track_href': 'https://api.spotify.com/v1/tracks/089keBWJUOsI9wUeVr1uIr', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/089keBWJUOsI9wUeVr1uIr', 'duration_ms': 212280, 'time_signature': 4}"
4297,"{'danceability': 0.516, 'energy': 0.638, 'key': 9, 'loudness': -7.453, 'mode': 1, 'speechiness': 0.0314, 'acousticness': 0.238, 'instrumentalness': 0, 'liveness': 0.333, 'valence': 0.822, 'tempo': 88.657, 'type': 'audio_features', 'id': '7hefVXaGsFPesbK6fKwS6F', 'uri': 'spotify:track:7hefVXaGsFPesbK6fKwS6F', 'track_href': 'https://api.spotify.com/v1/tracks/7hefVXaGsFPesbK6fKwS6F', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7hefVXaGsFPesbK6fKwS6F', 'duration_ms': 125360, 'time_signature': 4}"
4298,"{'danceability': 0.141, 'energy': 0.137, 'key': 8, 'loudness': -15.424, 'mode': 1, 'speechiness': 0.0431, 'acousticness': 0.948, 'instrumentalness': 0.562, 'liveness': 0.0612, 'valence': 0.0353, 'tempo': 85.479, 'type': 'audio_features', 'id': '6hkOAdgduiWe3jCV3PjPKJ', 'uri': 'spotify:track:6hkOAdgduiWe3jCV3PjPKJ', 'track_href': 'https://api.spotify.com/v1/tracks/6hkOAdgduiWe3jCV3PjPKJ', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6hkOAdgduiWe3jCV3PjPKJ', 'duration_ms': 248693, 'time_signature': 4}"
4299,"{'danceability': 0.622, 'energy': 0.469, 'key': 3, 'loudness': -6.798, 'mode': 0, 'speechiness': 0.0363, 'acousticness': 0.00454, 'instrumentalness': 2.25e-06, 'liveness': 0.0398, 'valence': 0.679, 'tempo': 77.019, 'type': 'audio_features', 'id': '72jCZdH0Lhg93z6Z4hBjgj', 'uri': 'spotify:track:72jCZdH0Lhg93z6Z4hBjgj', 'track_href': 'https://api.spotify.com/v1/tracks/72jCZdH0Lhg93z6Z4hBjgj', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/72jCZdH0Lhg93z6Z4hBjgj', 'duration_ms': 217973, 'time_signature': 4}"
4300,"{'danceability': 0.489, 'energy': 0.752, 'key': 6, 'loudness': -8.812, 'mode': 0, 'speechiness': 0.0417, 'acousticness': 0.00516, 'instrumentalness': 0.249, 'liveness': 0.34, 'valence': 0.0366, 'tempo': 90.045, 'type': 'audio_features', 'id': '6CSxlgkvksGKOLbmdIQ58e', 'uri': 'spotify:track:6CSxlgkvksGKOLbmdIQ58e', 'track_href': 'https://api.spotify.com/v1/tracks/6CSxlgkvksGKOLbmdIQ58e', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6CSxlgkvksGKOLbmdIQ58e', 'duration_ms': 304000, 'time_signature': 4}"
4301,"{'danceability': 0.409, 'energy': 0.777, 'key': 0, 'loudness': -5.397, 'mode': 1, 'speechiness': 0.0338, 'acousticness': 0.252, 'instrumentalness': 0, 'liveness': 0.19, 'valence': 0.387, 'tempo': 141.404, 'type': 'audio_features', 'id': '0Dta2GzHUGQbARAKnQrWDk', 'uri': 'spotify:track:0Dta2GzHUGQbARAKnQrWDk', 'track_href': 'https://api.spotify.com/v1/tracks/0Dta2GzHUGQbARAKnQrWDk', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0Dta2GzHUGQbARAKnQrWDk', 'duration_ms': 184118, 'time_signature': 4}"
4302,"{'danceability': 0.482, 'energy': 0.249, 'key': 3, 'loudness': -11.357, 'mode': 0, 'speechiness': 0.0376, 'acousticness': 0.932, 'instrumentalness': 0.0311, 'liveness': 0.225, 'valence': 0.445, 'tempo': 121.657, 'type': 'audio_features', 'id': '4UZ2iRGRcImqqric7KrDGR', 'uri': 'spotify:track:4UZ2iRGRcImqqric7KrDGR', 'track_href': 'https://api.spotify.com/v1/tracks/4UZ2iRGRcImqqric7KrDGR', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4UZ2iRGRcImqqric7KrDGR', 'duration_ms': 140267, 'time_signature': 3}"
4303,"{'danceability': 0.763, 'energy': 0.628, 'key': 11, 'loudness': -5.85, 'mode': 1, 'speechiness': 0.05, 'acousticness': 0.0531, 'instrumentalness': 0, 'liveness': 0.114, 'valence': 0.193, 'tempo': 140.958, 'type': 'audio_features', 'id': '2cYqizR4lgvp4Qu6IQ3qGN', 'uri': 'spotify:track:2cYqizR4lgvp4Qu6IQ3qGN', 'track_href': 'https://api.spotify.com/v1/tracks/2cYqizR4lgvp4Qu6IQ3qGN', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2cYqizR4lgvp4Qu6IQ3qGN', 'duration_ms': 190557, 'time_signature': 4}"
4304,"{'danceability': 0.649, 'energy': 0.761, 'key': 4, 'loudness': -10.011, 'mode': 0, 'speechiness': 0.0447, 'acousticness': 0.00687, 'instrumentalness': 0.199, 'liveness': 0.0647, 'valence': 0.181, 'tempo': 124.997, 'type': 'audio_features', 'id': '6V7NRKpW0aRRLGzW4zLyED', 'uri': 'spotify:track:6V7NRKpW0aRRLGzW4zLyED', 'track_href': 'https://api.spotify.com/v1/tracks/6V7NRKpW0aRRLGzW4zLyED', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6V7NRKpW0aRRLGzW4zLyED', 'duration_ms': 373440, 'time_signature': 4}"
4305,"{'danceability': 0.541, 'energy': 0.675, 'key': 10, 'loudness': -6.136, 'mode': 1, 'speechiness': 0.192, 'acousticness': 0.446, 'instrumentalness': 0, 'liveness': 0.107, 'valence': 0.686, 'tempo': 91.09, 'type': 'audio_features', 'id': '6n6EXIwLtNwe4u4CFzENYm', 'uri': 'spotify:track:6n6EXIwLtNwe4u4CFzENYm', 'track_href': 'https://api.spotify.com/v1/tracks/6n6EXIwLtNwe4u4CFzENYm', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6n6EXIwLtNwe4u4CFzENYm', 'duration_ms': 246920, 'time_signature': 4}"
4306,"{'danceability': 0.308, 'energy': 0.36, 'key': 4, 'loudness': -7.79, 'mode': 1, 'speechiness': 0.0355, 'acousticness': 0.534, 'instrumentalness': 0.032, 'liveness': 0.0568, 'valence': 0.0806, 'tempo': 80.996, 'type': 'audio_features', 'id': '3oxFVT3NByUX7qeQZGivGF', 'uri': 'spotify:track:3oxFVT3NByUX7qeQZGivGF', 'track_href': 'https://api.spotify.com/v1/tracks/3oxFVT3NByUX7qeQZGivGF', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3oxFVT3NByUX7qeQZGivGF', 'duration_ms': 149587, 'time_signature': 4}"
4307,"{'danceability': 0.59, 'energy': 0.798, 'key': 1, 'loudness': -4.75, 'mode': 1, 'speechiness': 0.0349, 'acousticness': 0.261, 'instrumentalness': 0, 'liveness': 0.112, 'valence': 0.272, 'tempo': 96.02, 'type': 'audio_features', 'id': '46JqDjp4BMbLQrTOUHdspO', 'uri': 'spotify:track:46JqDjp4BMbLQrTOUHdspO', 'track_href': 'https://api.spotify.com/v1/tracks/46JqDjp4BMbLQrTOUHdspO', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/46JqDjp4BMbLQrTOUHdspO', 'duration_ms': 230109, 'time_signature': 4}"
4308,"{'danceability': 0.784, 'energy': 0.632, 'key': 10, 'loudness': -6.083, 'mode': 0, 'speechiness': 0.347, 'acousticness': 0.156, 'instrumentalness': 0, 'liveness': 0.605, 'valence': 0.746, 'tempo': 124.603, 'type': 'audio_features', 'id': '0gO3E51A3fqp0ypJ26QbVP', 'uri': 'spotify:track:0gO3E51A3fqp0ypJ26QbVP', 'track_href': 'https://api.spotify.com/v1/tracks/0gO3E51A3fqp0ypJ26QbVP', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0gO3E51A3fqp0ypJ26QbVP', 'duration_ms': 232839, 'time_signature': 4}"
4309,"{'danceability': 0.747, 'energy': 0.758, 'key': 0, 'loudness': -4.743, 'mode': 0, 'speechiness': 0.179, 'acousticness': 0.0521, 'instrumentalness': 0, 'liveness': 0.214, 'valence': 0.601, 'tempo': 102.02, 'type': 'audio_features', 'id': '0msrDPXxZpts4FRnoX0bFr', 'uri': 'spotify:track:0msrDPXxZpts4FRnoX0bFr', 'track_href': 'https://api.spotify.com/v1/tracks/0msrDPXxZpts4FRnoX0bFr', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0msrDPXxZpts4FRnoX0bFr', 'duration_ms': 200240, 'time_signature': 4}"
4310,"{'danceability': 0.666, 'energy': 0.754, 'key': 1, 'loudness': -10.627, 'mode': 1, 'speechiness': 0.0445, 'acousticness': 0.349, 'instrumentalness': 0.924, 'liveness': 0.313, 'valence': 0.909, 'tempo': 149.849, 'type': 'audio_features', 'id': '7kAsY1U32QG9FxzQibyyQC', 'uri': 'spotify:track:7kAsY1U32QG9FxzQibyyQC', 'track_href': 'https://api.spotify.com/v1/tracks/7kAsY1U32QG9FxzQibyyQC', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7kAsY1U32QG9FxzQibyyQC', 'duration_ms': 173040, 'time_signature': 4}"
4311,"{'danceability': 0.905, 'energy': 0.647, 'key': 10, 'loudness': -5.065, 'mode': 0, 'speechiness': 0.107, 'acousticness': 0.0187, 'instrumentalness': 0, 'liveness': 0.282, 'valence': 0.367, 'tempo': 130.97, 'type': 'audio_features', 'id': '2r6OAV3WsYtXuXjvJ1lIDi', 'uri': 'spotify:track:2r6OAV3WsYtXuXjvJ1lIDi', 'track_href': 'https://api.spotify.com/v1/tracks/2r6OAV3WsYtXuXjvJ1lIDi', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2r6OAV3WsYtXuXjvJ1lIDi', 'duration_ms': 190534, 'time_signature': 4}"
4312,"{'danceability': 0.637, 'energy': 0.799, 'key': 2, 'loudness': -4.519, 'mode': 1, 'speechiness': 0.0338, 'acousticness': 0.394, 'instrumentalness': 0, 'liveness': 0.0921, 'valence': 0.562, 'tempo': 104.995, 'type': 'audio_features', 'id': '3p6hnejEQYXkiTO1lAzVc0', 'uri': 'spotify:track:3p6hnejEQYXkiTO1lAzVc0', 'track_href': 'https://api.spotify.com/v1/tracks/3p6hnejEQYXkiTO1lAzVc0', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3p6hnejEQYXkiTO1lAzVc0', 'duration_ms': 228615, 'time_signature': 4}"
4313,"{'danceability': 0.357, 'energy': 0.553, 'key': 10, 'loudness': -16.321, 'mode': 0, 'speechiness': 0.0477, 'acousticness': 0.434, 'instrumentalness': 0.986, 'liveness': 0.119, 'valence': 0.042, 'tempo': 132.411, 'type': 'audio_features', 'id': '6k4ufjRz4bK1OC3vHYgIS4', 'uri': 'spotify:track:6k4ufjRz4bK1OC3vHYgIS4', 'track_href': 'https://api.spotify.com/v1/tracks/6k4ufjRz4bK1OC3vHYgIS4', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6k4ufjRz4bK1OC3vHYgIS4', 'duration_ms': 64420, 'time_signature': 3}"
4314,"{'danceability': 0.418, 'energy': 0.447, 'key': 0, 'loudness': -9.058, 'mode': 0, 'speechiness': 0.338, 'acousticness': 0.684, 'instrumentalness': 2.1e-06, 'liveness': 0.414, 'valence': 0.869, 'tempo': 169.336, 'type': 'audio_features', 'id': '7wL7Lb8Q3aYyq6gmRL0PZq', 'uri': 'spotify:track:7wL7Lb8Q3aYyq6gmRL0PZq', 'track_href': 'https://api.spotify.com/v1/tracks/7wL7Lb8Q3aYyq6gmRL0PZq', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7wL7Lb8Q3aYyq6gmRL0PZq', 'duration_ms': 81787, 'time_signature': 4}"
