,Features
20,"{'danceability': 0.516, 'energy': 0.739, 'key': 2, 'loudness': -8.471, 'mode': 1, 'speechiness': 0.0292, 'acousticness': 0.285, 'instrumentalness': 0.636, 'liveness': 0.111, 'valence': 0.256, 'tempo': 109.837, 'type': 'audio_features', 'id': '1KNCpsUEi6VdDIBzZ1cMVd', 'uri': 'spotify:track:1KNCpsUEi6VdDIBzZ1cMVd', 'track_href': 'https://api.spotify.com/v1/tracks/1KNCpsUEi6VdDIBzZ1cMVd', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1KNCpsUEi6VdDIBzZ1cMVd', 'duration_ms': 226293, 'time_signature': 4}"
21,"{'danceability': 0.84, 'energy': 0.482, 'key': 6, 'loudness': -7.116, 'mode': 0, 'speechiness': 0.0333, 'acousticness': 0.202, 'instrumentalness': 0, 'liveness': 0.0873, 'valence': 0.957, 'tempo': 95.498, 'type': 'audio_features', 'id': '6q1qACcezH6eH77Xljh5QV', 'uri': 'spotify:track:6q1qACcezH6eH77Xljh5QV', 'track_href': 'https://api.spotify.com/v1/tracks/6q1qACcezH6eH77Xljh5QV', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6q1qACcezH6eH77Xljh5QV', 'duration_ms': 243053, 'time_signature': 4}"
22,"{'danceability': 0.848, 'energy': 0.666, 'key': 0, 'loudness': -6.547, 'mode': 1, 'speechiness': 0.274, 'acousticness': 0.173, 'instrumentalness': 0.000699, 'liveness': 0.129, 'valence': 0.744, 'tempo': 96.662, 'type': 'audio_features', 'id': '3Ti0GdlrotgwsAVBBugv0I', 'uri': 'spotify:track:3Ti0GdlrotgwsAVBBugv0I', 'track_href': 'https://api.spotify.com/v1/tracks/3Ti0GdlrotgwsAVBBugv0I', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3Ti0GdlrotgwsAVBBugv0I', 'duration_ms': 251573, 'time_signature': 4}"
23,"{'danceability': 0.545, 'energy': 0.78, 'key': 7, 'loudness': -4.867, 'mode': 0, 'speechiness': 0.0436, 'acousticness': 0.0309, 'instrumentalness': 4.64e-05, 'liveness': 0.0828, 'valence': 0.458, 'tempo': 125.014, 'type': 'audio_features', 'id': '4RXpgGM7A4Hg7cFBoH5KyF', 'uri': 'spotify:track:4RXpgGM7A4Hg7cFBoH5KyF', 'track_href': 'https://api.spotify.com/v1/tracks/4RXpgGM7A4Hg7cFBoH5KyF', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4RXpgGM7A4Hg7cFBoH5KyF', 'duration_ms': 255093, 'time_signature': 4}"
24,"{'danceability': 0.399, 'energy': 0.761, 'key': 9, 'loudness': -6.318, 'mode': 1, 'speechiness': 0.0334, 'acousticness': 0.000105, 'instrumentalness': 0.0456, 'liveness': 0.0757, 'valence': 0.243, 'tempo': 140.084, 'type': 'audio_features', 'id': '44jJCNW8frQLEWpYuAQz47', 'uri': 'spotify:track:44jJCNW8frQLEWpYuAQz47', 'track_href': 'https://api.spotify.com/v1/tracks/44jJCNW8frQLEWpYuAQz47', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/44jJCNW8frQLEWpYuAQz47', 'duration_ms': 304907, 'time_signature': 4}"
25,"{'danceability': 0.612, 'energy': 0.476, 'key': 8, 'loudness': -8.256, 'mode': 1, 'speechiness': 0.0275, 'acousticness': 0.861, 'instrumentalness': 0.00401, 'liveness': 0.147, 'valence': 0.257, 'tempo': 118.383, 'type': 'audio_features', 'id': '0ZAhJvqW67Epg4IsLIaSTR', 'uri': 'spotify:track:0ZAhJvqW67Epg4IsLIaSTR', 'track_href': 'https://api.spotify.com/v1/tracks/0ZAhJvqW67Epg4IsLIaSTR', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0ZAhJvqW67Epg4IsLIaSTR', 'duration_ms': 288720, 'time_signature': 3}"
26,"{'danceability': 0.614, 'energy': 0.379, 'key': 4, 'loudness': -10.48, 'mode': 1, 'speechiness': 0.0476, 'acousticness': 0.607, 'instrumentalness': 0.000464, 'liveness': 0.0986, 'valence': 0.201, 'tempo': 107.989, 'type': 'audio_features', 'id': '1HNkqx9Ahdgi1Ixy2xkKkL', 'uri': 'spotify:track:1HNkqx9Ahdgi1Ixy2xkKkL', 'track_href': 'https://api.spotify.com/v1/tracks/1HNkqx9Ahdgi1Ixy2xkKkL', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1HNkqx9Ahdgi1Ixy2xkKkL', 'duration_ms': 258987, 'time_signature': 4}"
27,"{'danceability': 0.388, 'energy': 0.529, 'key': 7, 'loudness': -10.533, 'mode': 1, 'speechiness': 0.0436, 'acousticness': 0.16, 'instrumentalness': 0.0681, 'liveness': 0.108, 'valence': 0.332, 'tempo': 150.721, 'type': 'audio_features', 'id': '5NQYyej46WQkgCbnzGD21W', 'uri': 'spotify:track:5NQYyej46WQkgCbnzGD21W', 'track_href': 'https://api.spotify.com/v1/tracks/5NQYyej46WQkgCbnzGD21W', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5NQYyej46WQkgCbnzGD21W', 'duration_ms': 235773, 'time_signature': 4}"
28,"{'danceability': 0.429, 'energy': 0.755, 'key': 0, 'loudness': -5.662, 'mode': 1, 'speechiness': 0.052, 'acousticness': 0.0125, 'instrumentalness': 2.79e-05, 'liveness': 0.444, 'valence': 0.162, 'tempo': 131.914, 'type': 'audio_features', 'id': '5nkYDYUSb1bvLJ4nP8CnQ1', 'uri': 'spotify:track:5nkYDYUSb1bvLJ4nP8CnQ1', 'track_href': 'https://api.spotify.com/v1/tracks/5nkYDYUSb1bvLJ4nP8CnQ1', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5nkYDYUSb1bvLJ4nP8CnQ1', 'duration_ms': 274853, 'time_signature': 4}"
29,"{'danceability': 0.379, 'energy': 0.879, 'key': 1, 'loudness': -4.336, 'mode': 0, 'speechiness': 0.0362, 'acousticness': 0.0421, 'instrumentalness': 0.00449, 'liveness': 0.146, 'valence': 0.37, 'tempo': 102.021, 'type': 'audio_features', 'id': '60ZGteAEtPCnGE6zevgUcd', 'uri': 'spotify:track:60ZGteAEtPCnGE6zevgUcd', 'track_href': 'https://api.spotify.com/v1/tracks/60ZGteAEtPCnGE6zevgUcd', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/60ZGteAEtPCnGE6zevgUcd', 'duration_ms': 211453, 'time_signature': 4}"
30,"{'danceability': 0.542, 'energy': 0.466, 'key': 0, 'loudness': -8.665, 'mode': 1, 'speechiness': 0.0831, 'acousticness': 0.141, 'instrumentalness': 0.000445, 'liveness': 0.125, 'valence': 0.124, 'tempo': 191.385, 'type': 'audio_features', 'id': '4jQqM4NI79HEcWHUJb8Hvf', 'uri': 'spotify:track:4jQqM4NI79HEcWHUJb8Hvf', 'track_href': 'https://api.spotify.com/v1/tracks/4jQqM4NI79HEcWHUJb8Hvf', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4jQqM4NI79HEcWHUJb8Hvf', 'duration_ms': 243440, 'time_signature': 4}"
31,"{'danceability': 0.596, 'energy': 0.901, 'key': 3, 'loudness': -7.373, 'mode': 1, 'speechiness': 0.0482, 'acousticness': 0.0362, 'instrumentalness': 0.749, 'liveness': 0.0698, 'valence': 0.621, 'tempo': 137.359, 'type': 'audio_features', 'id': '55LRDFmsuazr533WrtHHW9', 'uri': 'spotify:track:55LRDFmsuazr533WrtHHW9', 'track_href': 'https://api.spotify.com/v1/tracks/55LRDFmsuazr533WrtHHW9', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/55LRDFmsuazr533WrtHHW9', 'duration_ms': 219467, 'time_signature': 4}"
